Red,X,Y,Z,x,y
255,409.3795,185.9349,0.2966,0.6873,0.3122
254,403.0217,183.0453,0.2939,0.6873,0.3122
253,401.9909,182.6039,0.2996,0.6873,0.3122
252,400.5366,181.9239,0.2929,0.6873,0.3122
251,400.2009,181.7893,0.2807,0.6873,0.3122
250,396.0579,179.8934,0.2911,0.6873,0.3122
249,392.3399,178.2218,0.2835,0.6873,0.3122
248,389.2015,176.8456,0.2824,0.6872,0.3123
247,386.2696,175.4464,0.287,0.6873,0.3122
246,382.2746,173.6076,0.2792,0.6873,0.3122
245,379.3646,172.2083,0.2716,0.6874,0.3121
244,375.7656,170.6168,0.2763,0.6874,0.3121
243,372.9041,169.4502,0.2635,0.6872,0.3123
242,370.5419,168.3188,0.2684,0.6873,0.3122
241,367.892,167.1022,0.2672,0.6873,0.3122
240,366.186,166.3847,0.2606,0.6872,0.3123
239,362.7562,164.8308,0.2592,0.6872,0.3123
238,360.3329,163.6769,0.252,0.6873,0.3122
237,357.4812,162.4518,0.251,0.6872,0.3123
236,354.5603,161.1177,0.2558,0.6872,0.3123
235,352.3073,160.0651,0.2548,0.6873,0.3122
234,348.9951,158.6115,0.2475,0.6872,0.3123
233,345.9627,157.2244,0.2523,0.6872,0.3123
232,343.3859,156.0439,0.2633,0.6872,0.3123
231,340.3584,154.6517,0.2438,0.6872,0.3123
230,336.74,153.0033,0.2423,0.6872,0.3123
229,333.595,151.5957,0.235,0.6872,0.3123
228,329.8341,149.8918,0.2334,0.6872,0.3123
227,326.4052,148.3271,0.238,0.6872,0.3123
226,323.3046,146.9516,0.2429,0.6872,0.3123
225,319.8237,145.3706,0.2293,0.6872,0.3123
224,315.5552,143.4376,0.2215,0.6872,0.3124
223,312.0812,141.8665,0.2261,0.6871,0.3124
222,308.8955,140.4095,0.2127,0.6872,0.3124
221,304.6367,138.4769,0.217,0.6872,0.3124
220,300.6122,136.6757,0.2093,0.6871,0.3124
219,296.7714,134.8684,0.2196,0.6872,0.3123
218,293.3382,133.3512,0.2123,0.6871,0.3124
217,289.5075,131.6037,0.2167,0.6871,0.3124
216,285.6502,129.8347,0.1969,0.6872,0.3123
215,281.4608,127.9545,0.2013,0.6871,0.3124
214,277.401,126.0698,0.2055,0.6872,0.3123
213,273.4779,124.3092,0.1857,0.6872,0.3124
212,270.259,122.8817,0.1906,0.6871,0.3124
211,266.5448,121.164,0.201,0.6871,0.3124
210,262.676,119.3798,0.1751,0.6872,0.3123
209,258.8919,117.6626,0.1856,0.6872,0.3123
208,254.5613,115.7135,0.1778,0.6872,0.3124
207,251.2053,114.1887,0.1825,0.6871,0.3124
206,247.6712,112.5988,0.1811,0.6871,0.3124
205,244.0425,110.9316,0.1795,0.6871,0.3123
204,240.1894,109.1569,0.1718,0.6872,0.3123
203,236.5063,107.4859,0.1702,0.6872,0.3123
202,232.8747,105.8572,0.1627,0.6872,0.3124
201,229.6327,104.3805,0.1553,0.6872,0.3124
200,226.1609,102.8004,0.166,0.6872,0.3123
199,222.3758,101.0626,0.1643,0.6872,0.3123
198,218.9099,99.4842,0.1568,0.6872,0.3123
197,215.5379,97.9508,0.1614,0.6872,0.3123
196,212.4995,96.5671,0.148,0.6872,0.3123
195,209.0858,95.0294,0.1648,0.6871,0.3123
194,205.6554,93.4773,0.1392,0.6872,0.3123
193,202.2354,91.9149,0.1499,0.6872,0.3123
192,199.1415,90.5084,0.1425,0.6872,0.3123
191,196.1567,89.1591,0.1473,0.6872,0.3123
190,192.9746,87.6897,0.1338,0.6872,0.3123
189,189.6213,86.1577,0.1384,0.6872,0.3123
188,186.4233,84.724,0.1251,0.6872,0.3123
187,183.2964,83.296,0.1298,0.6872,0.3123
186,180.1622,81.8632,0.1345,0.6872,0.3123
185,177.2123,80.5281,0.1333,0.6872,0.3123
184,174.3122,79.209,0.126,0.6872,0.3123
183,171.1012,77.7396,0.1246,0.6872,0.3123
182,168.2238,76.4361,0.1174,0.6873,0.3123
181,165.3402,75.1356,0.1162,0.6872,0.3123
180,162.7543,73.9656,0.1152,0.6872,0.3123
179,159.8205,72.6342,0.1079,0.6872,0.3123
178,156.6781,71.1971,0.1187,0.6872,0.3123
177,154.1722,70.0483,0.0994,0.6873,0.3123
176,151.3254,68.7625,0.0982,0.6873,0.3123
175,148.5648,67.5079,0.1153,0.6872,0.3123
174,145.6757,66.1827,0.1019,0.6873,0.3122
173,143.1332,65.0288,0.0887,0.6873,0.3123
172,140.6579,63.8965,0.1058,0.6873,0.3122
171,137.7651,62.5839,0.0986,0.6873,0.3122
170,135.3705,61.5133,0.0976,0.6872,0.3123
169,132.7989,60.3432,0.0966,0.6872,0.3123
168,130.0815,59.0843,0.0893,0.6873,0.3122
167,127.8109,58.0693,0.0823,0.6873,0.3123
166,125.3736,56.9674,0.0874,0.6872,0.3123
165,122.8565,55.823,0.0863,0.6872,0.3123
164,120.4457,54.717,0.0792,0.6873,0.3122
163,118.084,53.6464,0.0842,0.6873,0.3122
162,115.8242,52.6157,0.0772,0.6873,0.3122
161,113.4745,51.5547,0.0823,0.6873,0.3122
160,111.0175,50.4227,0.0812,0.6873,0.3122
159,108.7864,49.4194,0.0742,0.6873,0.3122
158,106.4659,48.3489,0.0732,0.6874,0.3122
157,104.2313,47.3584,0.0784,0.6872,0.3122
156,102.1803,46.4185,0.0775,0.6873,0.3122
155,99.803,45.3051,0.0643,0.6875,0.3121
154,97.5127,44.3038,0.0696,0.6873,0.3122
153,95.189,43.2532,0.0686,0.6872,0.3123
152,92.81,42.1474,0.0615,0.6874,0.3122
151,90.3582,41.0543,0.0605,0.6873,0.3123
150,87.9143,39.9558,0.0595,0.6872,0.3123
149,85.2408,38.7361,0.0645,0.6872,0.3123
148,82.5213,37.5047,0.0573,0.6872,0.3123
147,79.6574,36.2124,0.0561,0.6871,0.3124
146,76.6422,34.8279,0.0609,0.6872,0.3123
145,73.6775,33.4811,0.0415,0.6873,0.3123
144,70.7092,32.1425,0.0524,0.6871,0.3124
143,67.8832,30.8597,0.0451,0.6872,0.3124
142,65.0249,29.5549,0.05,0.6872,0.3123
141,62.2771,28.3034,0.0428,0.6872,0.3123
140,59.4593,27.0276,0.0416,0.6872,0.3124
139,56.826,25.8295,0.0405,0.6872,0.3123
138,54.3974,24.7174,0.0334,0.6873,0.3123
137,51.8857,23.5842,0.043,0.6871,0.3123
136,49.4034,22.4491,0.0358,0.6872,0.3123
135,47.1764,21.4384,0.0349,0.6872,0.3123
134,44.9173,20.4128,0.0279,0.6873,0.3123
133,42.7162,19.4076,0.027,0.6873,0.3123
132,40.7724,18.5243,0.0322,0.6872,0.3122
131,38.6398,17.5584,0.0253,0.6873,0.3123
130,36.7963,16.7194,0.0245,0.6873,0.3123
129,34.9628,15.8846,0.0237,0.6873,0.3123
128,33.2158,15.0927,0.023,0.6872,0.3123
127,31.4487,14.2901,0.0223,0.6872,0.3123
126,29.8141,13.5467,0.0216,0.6872,0.3123
125,28.2196,12.8226,0.0209,0.6872,0.3123
124,26.7235,12.1407,0.0203,0.6873,0.3122
123,25.2753,11.4832,0.0186,0.6873,0.3122
122,23.9208,10.8661,0.018,0.6873,0.3122
121,22.5533,10.2437,0.0144,0.6874,0.3122
120,21.2991,9.671,0.0139,0.6874,0.3121
119,20.0752,9.1158,0.0103,0.6875,0.3122
118,18.8806,8.577,0.0129,0.6873,0.3122
117,17.7932,8.0821,0.0124,0.6873,0.3122
116,16.8996,7.6742,0.0151,0.6873,0.3121
115,15.9396,7.2352,0.0086,0.6875,0.3121
114,15.3354,6.9663,0.0084,0.6874,0.3122
113,14.7178,6.6836,0.0111,0.6873,0.3121
112,14.1535,6.4265,0.0079,0.6875,0.3122
111,13.5451,6.1505,0.0076,0.6875,0.3122
110,12.9977,5.9025,0.0134,0.6872,0.3121
109,12.4031,5.6344,0.0114,0.6872,0.3122
108,11.906,5.4072,0.0112,0.6872,0.3121
107,11.3415,5.1511,0.0118,0.6872,0.3121
106,10.8702,4.9357,0.0142,0.6871,0.312
105,10.3141,4.6866,0.0097,0.6871,0.3122
104,9.8732,4.4845,0.0095,0.6872,0.3121
103,9.4097,4.2745,0.0093,0.6872,0.3122
102,9.0045,4.0899,0.01,0.6871,0.3121
101,8.6128,3.9149,0.0089,0.687,0.3123
100,8.2125,3.7327,0.0096,0.687,0.3122
99,7.7651,3.524,0.0077,0.6874,0.3119
98,7.4027,3.3626,0.0058,0.6873,0.3122
97,7.0546,3.2052,0.0074,0.6871,0.3122
96,6.6979,3.0424,0.0073,0.6871,0.3121
95,6.3828,2.8999,0.0089,0.6869,0.3121
94,6.0441,2.7466,0.007,0.687,0.3122
93,5.7497,2.6124,0.0086,0.6869,0.3121
92,5.4649,2.4813,0.0042,0.6874,0.3121
91,5.1653,2.3457,0.0058,0.6872,0.3121
90,4.8964,2.2241,0.0057,0.6871,0.3121
89,4.6438,2.109,0.0064,0.687,0.312
88,4.3956,1.996,0.0054,0.6871,0.312
87,4.1717,1.8943,0.0019,0.6875,0.3122
86,3.9582,1.7975,0.0035,0.6873,0.3121
85,3.7473,1.703,0.0052,0.6869,0.3122
84,3.5553,1.6154,0.005,0.6869,0.3121
83,3.1736,1.4424,0.0059,0.6866,0.3121
