Red,X,Y,Z,x,y
255,463.3573,217.1547,0.1358,0.6808,0.319
254,454.8872,213.2051,0.1423,0.6807,0.3191
253,451.6298,211.6519,0.1423,0.6808,0.319
252,450.9582,211.3243,0.1358,0.6808,0.319
251,448.7203,210.2837,0.1358,0.6808,0.319
250,444.5737,208.3601,0.1358,0.6807,0.319
249,440.0087,206.1966,0.1488,0.6808,0.319
248,436.0058,204.3002,0.1488,0.6808,0.319
247,432.6917,202.7866,0.1227,0.6808,0.319
246,428.421,200.7559,0.1423,0.6808,0.319
245,424.9013,199.097,0.1358,0.6808,0.319
244,421.2408,197.4068,0.1358,0.6808,0.319
243,417.2637,195.5374,0.1358,0.6808,0.319
242,414.3446,194.1465,0.1292,0.6808,0.319
241,411.8346,192.9918,0.1227,0.6808,0.319
240,409.1524,191.7591,0.1096,0.6808,0.3191
239,406.096,190.3312,0.1227,0.6807,0.3191
238,403.1672,188.9432,0.1227,0.6808,0.319
237,399.8392,187.3955,0.1227,0.6807,0.319
236,396.5646,185.8257,0.1292,0.6808,0.319
235,393.1532,184.2085,0.1162,0.6808,0.319
234,389.9812,182.8043,0.1162,0.6807,0.3191
233,386.9851,181.4328,0.1227,0.6807,0.3191
232,383.5917,179.7899,0.1227,0.6807,0.3191
231,380.0464,178.1923,0.1162,0.6807,0.3191
230,376.2651,176.4207,0.1227,0.6806,0.3191
229,372.2949,174.5096,0.1096,0.6807,0.3191
228,368.2723,172.6694,0.1162,0.6807,0.3191
227,364.0594,170.7079,0.1162,0.6806,0.3191
226,360.8628,169.2065,0.1031,0.6807,0.3192
225,357.0213,167.372,0.1096,0.6807,0.3191
224,352.6689,165.3131,0.1031,0.6807,0.3191
223,348.1289,163.1846,0.1096,0.6807,0.3191
222,343.9619,161.2653,0.1031,0.6807,0.3191
221,339.9775,159.4142,0.1031,0.6806,0.3192
220,336.225,157.6546,0.1031,0.6806,0.3192
219,331.8939,155.6204,0.1031,0.6806,0.3191
218,326.8171,153.2485,0.1031,0.6806,0.3192
217,322.9513,151.4325,0.0966,0.6806,0.3192
216,318.3231,149.2573,0.0966,0.6806,0.3191
215,314.1086,147.284,0.0966,0.6806,0.3191
214,309.6943,145.218,0.0835,0.6807,0.3192
213,305.4134,143.2092,0.0966,0.6806,0.3192
212,300.9186,141.0859,0.0835,0.6807,0.3191
211,296.4722,139.0066,0.09,0.6807,0.3191
210,292.5034,137.1531,0.077,0.6807,0.3192
209,288.4924,135.2601,0.0835,0.6807,0.3191
208,283.978,133.1448,0.0835,0.6807,0.3191
207,279.685,131.1277,0.0966,0.6806,0.3191
206,275.654,129.2307,0.09,0.6807,0.3191
205,271.9269,127.5011,0.077,0.6807,0.3191
204,268.1114,125.7098,0.077,0.6807,0.3191
203,263.652,123.5944,0.0835,0.6807,0.3191
202,259.9675,121.8747,0.0835,0.6807,0.3191
201,255.8823,119.9749,0.077,0.6807,0.3191
200,251.8328,118.0551,0.077,0.6807,0.3191
199,247.9648,116.2382,0.077,0.6807,0.3191
198,244.4773,114.6214,0.077,0.6807,0.3191
197,240.4448,112.7271,0.0704,0.6807,0.3191
