Red,X,Y,Z,x,y
255,697.9669,312.248,0.8358,0.6903,0.3088
254,688.6577,308.0573,0.8272,0.6904,0.3088
253,680.7278,304.4942,0.8133,0.6904,0.3088
252,673.4742,301.2458,0.8197,0.6904,0.3088
251,666.2196,298.008,0.7867,0.6904,0.3088
250,659.3547,294.9141,0.7942,0.6904,0.3088
249,652.8129,291.9896,0.7881,0.6904,0.3088
248,647.0352,289.3975,0.7696,0.6904,0.3088
247,641.3149,286.8337,0.7709,0.6904,0.3088
246,633.3677,283.2698,0.7504,0.6904,0.3088
245,627.1099,280.4632,0.7381,0.6904,0.3088
244,620.9085,277.7015,0.7191,0.6904,0.3088
243,614.7041,274.9137,0.7265,0.6904,0.3088
242,608.3817,272.0811,0.7206,0.6904,0.3088
241,602.4133,269.4161,0.7085,0.6904,0.3088
240,596.2969,266.6586,0.716,0.6904,0.3088
239,590.3489,264.0129,0.7103,0.6904,0.3088
238,584.4445,261.3616,0.6983,0.6904,0.3088
237,578.534,258.7178,0.6928,0.6904,0.3088
236,573.509,256.4508,0.6686,0.6905,0.3087
235,566.9364,253.5244,0.6689,0.6904,0.3088
234,560.8795,250.8097,0.6699,0.6904,0.3087
233,555.4825,248.4092,0.6778,0.6904,0.3087
232,549.3751,245.6636,0.6526,0.6904,0.3087
231,543.8096,243.1778,0.6408,0.6904,0.3087
230,537.9899,240.5644,0.6354,0.6904,0.3087
229,532.3274,238.0267,0.6236,0.6905,0.3087
228,526.6002,235.4678,0.6248,0.6904,0.3087
227,521.0021,232.9656,0.6196,0.6904,0.3087
226,515.4476,230.4797,0.6079,0.6905,0.3087
225,509.8449,227.9751,0.5961,0.6905,0.3087
224,504.4144,225.5313,0.5977,0.6905,0.3087
223,498.8206,223.034,0.5989,0.6905,0.3087
222,493.5338,220.661,0.581,0.6905,0.3087
221,487.9956,218.1703,0.5824,0.6905,0.3087
220,482.6024,215.7598,0.5708,0.6905,0.3087
219,477.2654,213.3781,0.5724,0.6905,0.3087
218,472.0367,211.036,0.5544,0.6905,0.3087
217,466.6994,208.659,0.5559,0.6905,0.3087
216,461.4906,206.329,0.5576,0.6905,0.3087
215,456.2285,203.963,0.5462,0.6905,0.3087
214,451.9583,202.0503,0.5357,0.6905,0.3087
213,445.9372,199.374,0.5365,0.6905,0.3087
212,440.8856,197.0952,0.5254,0.6905,0.3087
211,435.6433,194.746,0.5205,0.6905,0.3087
210,430.5804,192.4988,0.5092,0.6905,0.3087
209,425.5727,190.2485,0.5045,0.6905,0.3087
208,420.871,188.1594,0.5066,0.6905,0.3087
207,415.4894,185.7344,0.4886,0.6905,0.3087
206,410.6882,183.5932,0.4841,0.6905,0.3087
205,405.8931,181.4397,0.4797,0.6905,0.3087
204,400.8815,179.2017,0.4684,0.6905,0.3087
203,396.0022,177.0128,0.4704,0.6905,0.3087
202,391.3049,174.914,0.4661,0.6905,0.3087
201,386.4502,172.7394,0.4615,0.6905,0.3087
200,381.7103,170.6166,0.4506,0.6905,0.3087
199,376.8975,168.4779,0.4526,0.6905,0.3087
198,372.2601,166.3952,0.4483,0.6905,0.3087
197,367.6223,164.3221,0.4243,0.6905,0.3087
196,363.0444,162.275,0.4266,0.6905,0.3087
195,358.5019,160.2323,0.4159,0.6906,0.3086
194,354.1432,158.2868,0.4183,0.6905,0.3086
193,349.8773,156.3764,0.4143,0.6905,0.3086
192,345.8217,154.5603,0.404,0.6906,0.3086
191,342.5631,153.1125,0.4075,0.6905,0.3086
190,338.1822,151.1502,0.3969,0.6905,0.3086
189,333.7279,149.1548,0.4058,0.6905,0.3086
188,331.3019,148.0675,0.3839,0.6906,0.3086
187,327.025,146.1548,0.3799,0.6906,0.3086
186,322.9828,144.3484,0.3827,0.6906,0.3086
185,319.1131,142.6173,0.3856,0.6905,0.3086
184,315.6487,141.0726,0.3693,0.6906,0.3086
183,312.1864,139.5206,0.3661,0.6906,0.3086
182,308.5867,137.9122,0.3692,0.6906,0.3086
181,305.0251,136.33,0.3528,0.6906,0.3086
180,301.5694,134.7707,0.3496,0.6906,0.3086
179,297.9721,133.1647,0.3528,0.6906,0.3086
178,294.4547,131.5893,0.3561,0.6906,0.3086
177,291.1538,130.1105,0.3595,0.6906,0.3086
176,287.7095,128.5632,0.3498,0.6906,0.3086
175,284.2849,127.035,0.3401,0.6906,0.3086
174,280.9021,125.5304,0.3303,0.6906,0.3086
173,277.6104,124.0516,0.3338,0.6906,0.3086
172,274.3894,122.613,0.3308,0.6906,0.3086
171,271.0557,121.1249,0.3146,0.6906,0.3086
170,267.8079,119.689,0.318,0.6906,0.3086
169,264.561,118.2246,0.322,0.6906,0.3086
168,261.4043,116.8069,0.3126,0.6906,0.3086
167,258.1518,115.355,0.3095,0.6906,0.3086
166,254.972,113.9383,0.3065,0.6906,0.3086
165,251.7049,112.4786,0.2969,0.6906,0.3086
164,248.6238,111.0916,0.2941,0.6906,0.3086
163,245.5774,109.7332,0.2912,0.6906,0.3086
162,242.5096,108.3643,0.2949,0.6906,0.3086
161,239.3383,106.9449,0.2854,0.6906,0.3086
160,236.4059,105.6329,0.2696,0.6906,0.3086
159,233.2431,104.2167,0.2797,0.6906,0.3086
158,230.3122,102.9153,0.2835,0.6906,0.3086
157,227.3146,101.5658,0.2742,0.6906,0.3086
156,224.376,100.256,0.2649,0.6906,0.3086
155,221.3712,98.9091,0.2686,0.6906,0.3086
154,218.5902,97.6732,0.2595,0.6906,0.3086
153,215.7034,96.3752,0.2568,0.6906,0.3086
152,212.9437,95.1453,0.2542,0.6906,0.3086
151,209.9998,93.8256,0.2449,0.6906,0.3086
150,207.3399,92.6437,0.2424,0.6906,0.3086
149,204.6092,91.4128,0.2465,0.6906,0.3085
148,201.7566,90.1405,0.2307,0.6906,0.3086
147,199.0121,88.9135,0.2347,0.6906,0.3086
146,196.3518,87.7383,0.2321,0.6906,0.3086
145,194.0489,86.692,0.23,0.6906,0.3085
144,191.4698,85.5574,0.221,0.6906,0.3086
143,188.365,84.1542,0.2378,0.6906,0.3085
142,185.7021,82.9696,0.2287,0.6906,0.3086
141,182.9905,81.7561,0.2197,0.6906,0.3086
140,180.5407,80.6612,0.2239,0.6906,0.3085
139,178.0219,79.5364,0.2085,0.6906,0.3086
138,175.4859,78.4017,0.2127,0.6906,0.3085
137,173.1039,77.3365,0.2104,0.6906,0.3085
136,170.5528,76.1964,0.195,0.6907,0.3086
135,168.1406,75.1166,0.2058,0.6906,0.3085
134,165.6398,73.9942,0.1969,0.6907,0.3085
133,163.2749,72.9438,0.2012,0.6906,0.3085
132,160.9089,71.8802,0.1925,0.6907,0.3085
131,158.4382,70.7782,0.1837,0.6907,0.3085
130,156.1555,69.7633,0.1946,0.6906,0.3085
129,153.7771,68.6986,0.1793,0.6907,0.3085
128,151.7196,67.7801,0.1773,0.6906,0.3085
127,149.0583,66.5931,0.1814,0.6906,0.3085
126,146.6178,65.504,0.1726,0.6906,0.3086
125,144.1157,64.3827,0.1702,0.6906,0.3085
124,141.3723,63.1531,0.1742,0.6906,0.3085
123,138.6911,61.9467,0.1652,0.6907,0.3085
122,135.8341,60.6754,0.1625,0.6907,0.3085
121,133.038,59.4285,0.1533,0.6907,0.3085
120,130.273,58.1849,0.1573,0.6907,0.3085
119,127.5441,56.9714,0.1482,0.6907,0.3085
118,124.8959,55.7857,0.1458,0.6907,0.3085
117,122.2066,54.5872,0.1498,0.6907,0.3085
116,119.6862,53.4562,0.1409,0.6907,0.3085
